Module,Title,Type,Link
Cardiologie,ITEM 329 - TRAUMATISME VASCULAIRE,PDF,https://drive.google.com/file/d/1kIntsThsQTnsihNhfc8XGs1u-UKYZw7W/view?usp=drivesdk
Cardiologie,ITEM 235 - PALPITATIONS - TROUBLES DU RYTHME,PDF,https://drive.google.com/file/d/1PZX0ASr0nr71jFGVDVKxj9P_MyNJAlGi/view?usp=drivesdk
Cardiologie,ITEM 233 - PERICARDITE,PDF,https://drive.google.com/file/d/1tDMc7EwfjcQdq2Oja2VOe63e_nVmDFcM/view?usp=drivesdk
Cardiologie,ITEM 221 - HTA,PDF,https://drive.google.com/file/d/1lVFSNZNDHGZfiLbhAhi5njukVcIV7ahk/view?usp=drivesdk
Cardiologie,ITEM 232 - INSUFFISANCE CARDIAQUE AIGUE,PDF,https://drive.google.com/file/d/1ztIQwCpVKvqb5GF6bP1RXBIucV5C4sbp/view?usp=drivesdk
Cardiologie,ITEM 229 - ECG,PDF,https://drive.google.com/file/d/1c7IE4_9RQm7mYba9Ity1MWNCew7iG_PR/view?usp=drivesdk
Cardiologie,ITEM 223 - ANEVRISME - ARTERIOPATHIE VISCERALE,PDF,https://drive.google.com/file/d/1YOjpcpt2eKFUnHRuWOg6A1BHwX9vmQv3/view?usp=drivesdk
Cardiologie,ITEM 150 - SURVEILLANCE VALVE-PROTHESE,PDF,https://drive.google.com/file/d/1La_991_CW7bbY30TYD4V3XKw06iW0QfZ/view?usp=drivesdk
Cardiologie,ITEM 219 - FDRCV,PDF,https://drive.google.com/file/d/1wJjj3NpRtAWTOsD7UqMM9pigHlZlTU5p/view?usp=drivesdk
Cardiologie,ITEM 218 - ATHEROME,PDF,https://drive.google.com/file/d/1ADkqLu4D6J_WX6togpbrpF_g-nSH0MF0/view?usp=drivesdk
Cardiologie,ITEM 231 - VALVULOPATHIES_V2,PDF,https://drive.google.com/file/d/1ac7c6MChEhaYaZPjIb4kXTLfMpocqLBY/view?usp=drivesdk
Cardiologie,ITEM 223 - AOMI - ISCHEMIE AIGUE MI_V2,PDF,https://drive.google.com/file/d/18SLZbmdH4loXy9nJo928q3ph1OeXk94L/view?usp=drivesdk
CMF ORL,ITEM 354 - CORPS ETRANGER VADS,PDF,https://drive.google.com/file/d/1t_-s6YA1fsGxCdeivpOi--Mc9JcP0Fe0/view?usp=drivesdk
CMF ORL,ITEM 97 - DOULEUR BUCCALE,PDF,https://drive.google.com/file/d/13z0HNT6T7NIjXJQBAGr8WpmMFf_QL1As/view?usp=drivesdk
CMF ORL,ITEM 86 - DYSPHONIE,PDF,https://drive.google.com/file/d/1Y5iNkx9lA00PiCgha0uYZbn9zad6HHSC/view?usp=drivesdk
CMF ORL,ITEM 99 - PARALYSIE FACIALE,PDF,https://drive.google.com/file/d/133kJh_NXnavfSpe5MSh6cVr1IurU5EfF/view?usp=drivesdk
CMF ORL,ITEM 88 - GLANDES SALIVAIRES,PDF,https://drive.google.com/file/d/1-8XYIJPV0uEunxorQmIIJZLafGDcm8s-/view?usp=drivesdk
CMF ORL,ITEM 330 - TRAUMA MAXILLOFACIAL,PDF,https://drive.google.com/file/d/1lA_fjD_OkN2u2c0nXsPbbS-gnz1x6jkZ/view?usp=drivesdk
CMF ORL,ITEM 85 - EPISTAXIS,PDF,https://drive.google.com/file/d/12tVHYwuQ0t7f2baVMBspWal6GZlCHEpi/view?usp=drivesdk
CMF ORL,ITEM 46 - ANOMALIE MAXILLOFACIALE BUCCODENTAIRE,PDF,https://drive.google.com/file/d/1qqwW6-QmuwATZWeVnl7n4Z__M8sEgTDS/view?usp=drivesdk
CMF ORL,ITEM 87 - ALTERATION FONCTION AUDITIVE,PDF,https://drive.google.com/file/d/1udfPK7MVNzNrVWeSVhKdgCJXWP4e77nl/view?usp=drivesdk
